10000	-126088	1663.7	1.0231e+07	3.84265e+08
20000	-252087	6650.2	2.04547e+07	3.8386e+08
30000	-377907	14955.7	3.06639e+07	3.83186e+08
40000	-503459	26574	4.08513e+07	3.82244e+08
50000	-628653	41496.3	5.10097e+07	3.81033e+08
60000	-753401	59711.2	6.11319e+07	3.79555e+08
70000	-877614	81205	7.12107e+07	3.77811e+08
80000	-1.0012e+06	105961	8.1239e+07	3.75802e+08
90000	-1.12408e+06	133962	9.12097e+07	3.7353e+08
100000	-1.24617e+06	165185	1.01116e+08	3.70997e+08
110000	-1.36737e+06	199607	1.1095e+08	3.68204e+08
120000	-1.4876e+06	237203	1.20706e+08	3.65153e+08
130000	-1.60678e+06	277944	1.30376e+08	3.61847e+08
140000	-1.72482e+06	321799	1.39954e+08	3.58289e+08
150000	-1.84164e+06	368736	1.49433e+08	3.5448e+08
160000	-1.95716e+06	418718	1.58807e+08	3.50425e+08
170000	-2.0713e+06	471710	1.68068e+08	3.46125e+08
180000	-2.18398e+06	527670	1.77211e+08	3.41584e+08
190000	-2.29512e+06	586558	1.86229e+08	3.36806e+08
200000	-2.40464e+06	648329	1.95116e+08	3.31794e+08
210000	-2.51247e+06	712938	2.03865e+08	3.26551e+08
220000	-2.61853e+06	780336	2.12471e+08	3.21083e+08
230000	-2.72275e+06	850473	2.20928e+08	3.15392e+08
240000	-2.82506e+06	923297	2.29229e+08	3.09482e+08
250000	-2.9254e+06	998756	2.3737e+08	3.0336e+08
260000	-3.02368e+06	1.07679e+06	2.45345e+08	2.97028e+08
270000	-3.11984e+06	1.15735e+06	2.53148e+08	2.90491e+08
280000	-3.21383e+06	1.24037e+06	2.60775e+08	2.83755e+08
290000	-3.30558e+06	1.32578e+06	2.68219e+08	2.76824e+08
300000	-3.39502e+06	1.41354e+06	2.75476e+08	2.69703e+08
310000	-3.48209e+06	1.50357e+06	2.82541e+08	2.62398e+08
320000	-3.56675e+06	1.59581e+06	2.8941e+08	2.54914e+08
330000	-3.64892e+06	1.69019e+06	2.96079e+08	2.47256e+08
340000	-3.72857e+06	1.78665e+06	3.02541e+08	2.39429e+08
350000	-3.80564e+06	1.8851e+06	3.08794e+08	2.3144e+08
360000	-3.88007e+06	1.98549e+06	3.14834e+08	2.23294e+08
370000	-3.95182e+06	2.08774e+06	3.20656e+08	2.14998e+08
380000	-4.02085e+06	2.19178e+06	3.26257e+08	2.06556e+08
390000	-4.08711e+06	2.29754e+06	3.31633e+08	1.97975e+08
400000	-4.15056e+06	2.40493e+06	3.36782e+08	1.89261e+08
410000	-4.21116e+06	2.51388e+06	3.41699e+08	1.80421e+08
420000	-4.26887e+06	2.62431e+06	3.46382e+08	1.7146e+08
430000	-4.32366e+06	2.73616e+06	3.50827e+08	1.62385e+08
440000	-4.3755e+06	2.84933e+06	3.55033e+08	1.53202e+08
450000	-4.42435e+06	2.96375e+06	3.58997e+08	1.43917e+08
460000	-4.47018e+06	3.07934e+06	3.62716e+08	1.34538e+08
470000	-4.51298e+06	3.19602e+06	3.66189e+08	1.25071e+08
480000	-4.55271e+06	3.31371e+06	3.69413e+08	1.15522e+08
490000	-4.58936e+06	3.43232e+06	3.72386e+08	1.05897e+08
500000	-4.6229e+06	3.55177e+06	3.75108e+08	9.62045e+07
510000	-4.65331e+06	3.67199e+06	3.77576e+08	8.64498e+07
520000	-4.68059e+06	3.79289e+06	3.79789e+08	7.664e+07
530000	-4.70472e+06	3.91438e+06	3.81747e+08	6.67818e+07
540000	-4.72568e+06	4.03639e+06	3.83448e+08	5.68817e+07
550000	-4.74347e+06	4.15884e+06	3.84892e+08	4.69467e+07
560000	-4.75809e+06	4.28163e+06	3.86078e+08	3.69833e+07
570000	-4.76952e+06	4.40468e+06	3.87005e+08	2.69984e+07
580000	-4.77777e+06	4.52792e+06	3.87675e+08	1.69985e+07
590000	-4.78284e+06	4.65126e+06	3.88086e+08	6.99042e+06
600000	-4.78472e+06	4.77462e+06	3.88238e+08	-3.0192e+06
610000	-4.78342e+06	4.89792e+06	3.88133e+08	-1.30237e+07
620000	-4.77895e+06	5.02107e+06	3.87771e+08	-2.30165e+07
630000	-4.77132e+06	5.144e+06	3.87151e+08	-3.29909e+07
640000	-4.76054e+06	5.26662e+06	3.86276e+08	-4.29405e+07
650000	-4.74662e+06	5.38885e+06	3.85147e+08	-5.28586e+07
660000	-4.72957e+06	5.51062e+06	3.83763e+08	-6.27389e+07
670000	-4.70941e+06	5.63184e+06	3.82128e+08	-7.25748e+07
680000	-4.68616e+06	5.75243e+06	3.80241e+08	-8.236e+07
690000	-4.65984e+06	5.87233e+06	3.78105e+08	-9.20882e+07
700000	-4.63047e+06	5.99144e+06	3.75722e+08	-1.01753e+08
710000	-4.59808e+06	6.10969e+06	3.73094e+08	-1.11348e+08
720000	-4.56269e+06	6.22702e+06	3.70222e+08	-1.20868e+08
730000	-4.52432e+06	6.34333e+06	3.6711e+08	-1.30306e+08
740000	-4.48302e+06	6.45857e+06	3.63758e+08	-1.39657e+08
750000	-4.43881e+06	6.57265e+06	3.60171e+08	-1.48913e+08
760000	-4.39173e+06	6.6855e+06	3.56351e+08	-1.5807e+08
770000	-4.3418e+06	6.79706e+06	3.52299e+08	-1.67122e+08
780000	-4.28907e+06	6.90725e+06	3.48021e+08	-1.76063e+08
790000	-4.23357e+06	7.016e+06	3.43518e+08	-1.84887e+08
800000	-4.17535e+06	7.12325e+06	3.38794e+08	-1.9359e+08
810000	-4.11445e+06	7.22893e+06	3.33851e+08	-2.02165e+08
820000	-4.0509e+06	7.33297e+06	3.28695e+08	-2.10607e+08
830000	-3.98475e+06	7.43531e+06	3.23328e+08	-2.18911e+08
840000	-3.91605e+06	7.53588e+06	3.17754e+08	-2.27071e+08
850000	-3.84485e+06	7.63463e+06	3.11977e+08	-2.35084e+08
860000	-3.7712e+06	7.7315e+06	3.06e+08	-2.42944e+08
870000	-3.69514e+06	7.82642e+06	2.99829e+08	-2.50646e+08
880000	-3.61673e+06	7.91933e+06	2.93466e+08	-2.58185e+08
890000	-3.53602e+06	8.01018e+06	2.86917e+08	-2.65557e+08
900000	-3.45306e+06	8.09892e+06	2.80186e+08	-2.72757e+08
910000	-3.36791e+06	8.18549e+06	2.73277e+08	-2.79781e+08
920000	-3.28063e+06	8.26984e+06	2.66194e+08	-2.86626e+08
930000	-3.19127e+06	8.35192e+06	2.58944e+08	-2.93285e+08
940000	-3.09989e+06	8.43167e+06	2.51529e+08	-2.99757e+08
950000	-3.00656e+06	8.50906e+06	2.43956e+08	-3.06036e+08
960000	-2.91132e+06	8.58403e+06	2.36229e+08	-3.12119e+08
970000	-2.81426e+06	8.65653e+06	2.28353e+08	-3.18002e+08
980000	-2.71542e+06	8.72654e+06	2.20333e+08	-3.23683e+08
990000	-2.61488e+06	8.794e+06	2.12174e+08	-3.29157e+08
1e+06	-2.51269e+06	8.85887e+06	2.03883e+08	-3.34421e+08
1.01e+06	-2.40892e+06	8.92113e+06	1.95463e+08	-3.39472e+08
1.02e+06	-2.30365e+06	8.98072e+06	1.86921e+08	-3.44307e+08
1.03e+06	-2.19692e+06	9.03761e+06	1.78261e+08	-3.48924e+08
1.04e+06	-2.08883e+06	9.09178e+06	1.6949e+08	-3.53319e+08
1.05e+06	-1.97942e+06	9.14318e+06	1.60613e+08	-3.5749e+08
1.06e+06	-1.86878e+06	9.19179e+06	1.51635e+08	-3.61434e+08
1.07e+06	-1.75697e+06	9.23759e+06	1.42563e+08	-3.6515e+08
1.08e+06	-1.64406e+06	9.28053e+06	1.33402e+08	-3.68635e+08
1.09e+06	-1.53013e+06	9.32061e+06	1.24157e+08	-3.71886e+08
1.1e+06	-1.41524e+06	9.35779e+06	1.14835e+08	-3.74903e+08
1.11e+06	-1.29947e+06	9.39205e+06	1.05441e+08	-3.77683e+08
1.12e+06	-1.18289e+06	9.42338e+06	9.59813e+07	-3.80225e+08
1.13e+06	-1.06557e+06	9.45174e+06	8.6462e+07	-3.82527e+08
1.14e+06	-947592	9.47714e+06	7.68889e+07	-3.84588e+08
1.15e+06	-829021	9.49955e+06	6.72679e+07	-3.86406e+08
1.16e+06	-709934	9.51897e+06	5.7605e+07	-3.87981e+08
1.17e+06	-590406	9.53537e+06	4.79063e+07	-3.89312e+08
1.18e+06	-470510	9.54875e+06	3.81778e+07	-3.90398e+08
1.19e+06	-350321	9.5591e+06	2.84255e+07	-3.91238e+08
1.2e+06	-229915	9.56642e+06	1.86556e+07	-3.91832e+08
1.21e+06	-109365	9.5707e+06	8.87404e+06	-3.92179e+08
1.22e+06	11252.1	9.57194e+06	-913013	-3.92279e+08
1.23e+06	131863	9.57013e+06	-1.06995e+07	-3.92133e+08
1.24e+06	252391	9.56529e+06	-2.04793e+07	-3.9174e+08
1.25e+06	372762	9.55741e+06	-3.02464e+07	-3.91101e+08
1.26e+06	492902	9.54649e+06	-3.99947e+07	-3.90215e+08
1.27e+06	612735	9.53255e+06	-4.97181e+07	-3.89084e+08
1.28e+06	732187	9.51559e+06	-5.94106e+07	-3.87708e+08
1.29e+06	851184	9.49562e+06	-6.90661e+07	-3.86087e+08
1.3e+06	969650	9.47266e+06	-7.86787e+07	-3.84224e+08
1.31e+06	1.08751e+06	9.44671e+06	-8.82422e+07	-3.82118e+08
1.32e+06	1.2047e+06	9.41779e+06	-9.77508e+07	-3.79772e+08
