2e+07	-3.11243e+08	4.61703e+07	2.31136e+10	1.05472e+11	-1.1077e+11	-1.01526e+11	1.92963e+11	-1.18754e+11	2.56519e+11	7.35125e+11	1.9302e+11	1.42105e+12	1.35884e+11	2.86777e+12	1.08639e+11	4.49869e+12
4e+07	-5.95095e+08	1.77083e+08	4.51326e+10	9.80057e+10	1.48657e+11	-1.37049e+10	-2.0471e+11	-9.89421e+10	4.84427e+11	6.09884e+11	3.82575e+11	1.38246e+12	2.71463e+11	2.85809e+12	2.17215e+11	4.49474e+12
6e+07	-8.2417e+08	3.80002e+08	6.50138e+10	8.59602e+10	-9.18685e+10	1.19151e+11	2.15241e+10	2.27225e+11	6.58391e+11	4.16845e+11	5.65257e+11	1.31895e+12	4.06433e+11	2.84198e+12	3.25664e+11	4.48818e+12
8e+07	-9.8139e+08	6.3563e+08	8.18444e+10	6.98816e+10	-2.74791e+10	-1.47155e+11	1.79526e+11	-1.36701e+11	7.59219e+11	1.77605e+11	7.37789e+11	1.23172e+12	5.40491e+11	2.81948e+12	4.33923e+11	4.47899e+12
1e+08	-1.0546e+09	9.15055e+08	9.48125e+10	5.052e+10	1.25834e+11	8.03978e+10	-2.14017e+11	-7.75978e+10	7.7595e+11	-8.12127e+10	8.97088e+11	1.12239e+12	6.73334e+11	2.79064e+12	5.41929e+11	4.46719e+12
1.2e+08	-1.04027e+09	1.19272e+09	1.03291e+11	2.87881e+10	-1.45664e+11	4.02273e+10	4.34573e+10	2.24735e+11	7.06981e+11	-3.30976e+11	1.04033e+12	9.92987e+11	8.04664e+11	2.75553e+12	6.49619e+11	4.45278e+12
1.4e+08	-9.47634e+08	1.4416e+09	1.06863e+11	5.71475e+09	6.73054e+10	-1.32265e+11	1.65025e+11	-1.53053e+11	5.60136e+11	-5.44207e+11	1.16501e+12	8.45873e+11	9.34184e+11	2.71422e+12	7.5693e+11	4.43577e+12
1.6e+08	-7.89333e+08	1.63654e+09	1.05351e+11	-1.75998e+10	5.15754e+10	1.41781e+11	-2.2055e+11	-5.54743e+10	3.51711e+11	-6.97555e+11	1.26895e+12	6.83733e+11	1.0616e+12	2.6668e+12	8.63799e+11	4.41617e+12
1.8e+08	-5.87288e+08	1.76356e+09	9.8812e+10	-4.00794e+10	-1.39413e+11	-5.49987e+10	6.55908e+10	2.19835e+11	1.04653e+11	-7.74274e+11	1.35041e+12	5.09499e+11	1.18663e+12	2.61339e+12	9.70164e+11	4.39399e+12
2e+08	-3.68609e+08	1.81205e+09	8.75333e+10	-6.06412e+10	1.34781e+11	-6.32524e+10	1.49455e+11	-1.68338e+11	-1.5393e+11	-7.65979e+11	1.40803e+12	3.26297e+11	1.30899e+12	2.5541e+12	1.07596e+12	4.36924e+12
