100000	-18289.6	232.612	3.50196e+09	1.07943e+11	2.9798e+09	1.49568e+11	2.40796e+09	2.27924e+11
200000	-36566.6	929.8	7.00022e+09	1.07772e+11	5.95842e+09	1.49479e+11	4.81564e+09	2.27886e+11
300000	-54818.3	2091.02	1.04911e+10	1.07488e+11	8.93468e+09	1.49331e+11	7.22279e+09	2.27822e+11
400000	-73032	3715.37	1.39709e+10	1.07091e+11	1.19074e+10	1.49123e+11	9.62912e+09	2.27733e+11
500000	-91195.1	5801.57	1.74361e+10	1.0658e+11	1.48754e+10	1.48857e+11	1.20344e+10	2.27618e+11
600000	-109295	8348	2.08828e+10	1.05958e+11	1.78375e+10	1.48531e+11	1.44383e+10	2.27477e+11
700000	-127320	11352.7	2.43075e+10	1.05223e+11	2.07925e+10	1.48147e+11	1.68406e+10	2.27311e+11
800000	-145256	14813.2	2.77066e+10	1.04378e+11	2.37393e+10	1.47703e+11	1.9241e+10	2.2712e+11
900000	-163092	18726.9	3.10766e+10	1.03423e+11	2.66767e+10	1.47202e+11	2.16392e+10	2.26903e+11
1e+06	-180815	23090.8	3.44137e+10	1.02359e+11	2.96035e+10	1.46642e+11	2.4035e+10	2.26661e+11
1.1e+06	-198414	27901.4	3.77146e+10	1.01187e+11	3.25185e+10	1.46023e+11	2.64282e+10	2.26393e+11
1.2e+06	-215875	33155	4.09757e+10	9.99078e+10	3.54207e+10	1.45347e+11	2.88183e+10	2.261e+11
1.3e+06	-233188	38847.4	4.41937e+10	9.85237e+10	3.83088e+10	1.44613e+11	3.12053e+10	2.25781e+11
1.4e+06	-250340	44974.2	4.7365e+10	9.70358e+10	4.11817e+10	1.43822e+11	3.35887e+10	2.25437e+11
1.5e+06	-267319	51530.8	5.04864e+10	9.54456e+10	4.40383e+10	1.42974e+11	3.59684e+10	2.25068e+11
1.6e+06	-284115	58511.8	5.35546e+10	9.37547e+10	4.68775e+10	1.42069e+11	3.8344e+10	2.24674e+11
1.7e+06	-300715	65912	5.65663e+10	9.1965e+10	4.96981e+10	1.41108e+11	4.07153e+10	2.24255e+11
1.8e+06	-317109	73725.6	5.95184e+10	9.00782e+10	5.24989e+10	1.40091e+11	4.30821e+10	2.2381e+11
1.9e+06	-333284	81946.4	6.24076e+10	8.80965e+10	5.5279e+10	1.39018e+11	4.5444e+10	2.2334e+11
