100000	-18289.6	232.402	3.50196e+09	1.07943e+11	2.9798e+09	1.49568e+11	2.40796e+09	2.27924e+11
200000	-36566.6	929.382	7.00022e+09	1.07772e+11	5.95842e+09	1.49479e+11	4.81564e+09	2.27886e+11
300000	-54818.3	2090.39	1.04911e+10	1.07488e+11	8.93468e+09	1.49331e+11	7.22279e+09	2.27822e+11
400000	-73032	3714.53	1.39709e+10	1.07091e+11	1.19074e+10	1.49124e+11	9.62912e+09	2.27733e+11
500000	-91195.1	5800.52	1.74361e+10	1.06581e+11	1.48754e+10	1.48857e+11	1.20344e+10	2.27618e+11
600000	-109295	8346.73	2.08828e+10	1.05958e+11	1.78375e+10	1.48531e+11	1.44383e+10	2.27477e+11
700000	-127320	11351.2	2.43075e+10	1.05224e+11	2.07925e+10	1.48147e+11	1.68406e+10	2.27311e+11
800000	-145256	14811.5	2.77066e+10	1.04378e+11	2.37393e+10	1.47704e+11	1.9241e+10	2.2712e+11
900000	-163092	18725	3.10766e+10	1.03423e+11	2.66767e+10	1.47202e+11	2.16392e+10	2.26903e+11
1e+06	-180815	23088.7	3.44137e+10	1.02359e+11	2.96035e+10	1.46642e+11	2.4035e+10	2.26661e+11
1.1e+06	-198414	27899	3.77146e+10	1.01187e+11	3.25185e+10	1.46023e+11	2.64282e+10	2.26393e+11
1.2e+06	-215875	33152.4	4.09758e+10	9.99084e+10	3.54207e+10	1.45347e+11	2.88183e+10	2.261e+11
1.3e+06	-233188	38844.5	4.41937e+10	9.85244e+10	3.83088e+10	1.44613e+11	3.12053e+10	2.25781e+11
1.4e+06	-250340	44971.2	4.7365e+10	9.70366e+10	4.11817e+10	1.43822e+11	3.35887e+10	2.25438e+11
1.5e+06	-267319	51527.5	5.04865e+10	9.54464e+10	4.40383e+10	1.42974e+11	3.59684e+10	2.25068e+11
1.6e+06	-284115	58508.3	5.35546e+10	9.37556e+10	4.68775e+10	1.42069e+11	3.8344e+10	2.24674e+11
1.7e+06	-300715	65908.2	5.65664e+10	9.19659e+10	4.96981e+10	1.41108e+11	4.07153e+10	2.24255e+11
1.8e+06	-317109	73721.5	5.95184e+10	9.00793e+10	5.24989e+10	1.40091e+11	4.30821e+10	2.2381e+11
1.9e+06	-333285	81942.1	6.24077e+10	8.80976e+10	5.5279e+10	1.39018e+11	4.5444e+10	2.2334e+11
2e+06	-349232	90563.6	6.52312e+10	8.6023e+10	5.80371e+10	1.37891e+11	4.78009e+10	2.22846e+11
2.1e+06	-364940	99579.2	6.79858e+10	8.38577e+10	6.07722e+10	1.36708e+11	5.01524e+10	2.22326e+11
2.2e+06	-380399	108982	7.06687e+10	8.16039e+10	6.34833e+10	1.35472e+11	5.24982e+10	2.21781e+11
2.3e+06	-395597	118765	7.32771e+10	7.9264e+10	6.61691e+10	1.34181e+11	5.48382e+10	2.21212e+11
2.4e+06	-410526	128920	7.58081e+10	7.68405e+10	6.88288e+10	1.32838e+11	5.7172e+10	2.20617e+11
2.5e+06	-425175	139440	7.82591e+10	7.43359e+10	7.14612e+10	1.31442e+11	5.94995e+10	2.19998e+11
2.6e+06	-439535	150316	8.06275e+10	7.17528e+10	7.40652e+10	1.29993e+11	6.18202e+10	2.19354e+11
2.7e+06	-453596	161540	8.29108e+10	6.90939e+10	7.66399e+10	1.28494e+11	6.4134e+10	2.18686e+11
