3e+08	1.70423e+08	1.1567e+09	-1.53002e+10	-1.05514e+11	1.76815e+10	-1.47969e+11	1.07591e+11	2.02107e+11	-7.46187e+11	2.27155e+11	1.32234e+12	-6.08921e+11	1.87132e+12	2.17455e+12	1.59431e+12	4.20758e+12
6e+08	4.41618e+08	2.22351e+09	3.09584e+10	1.05816e+11	-3.45189e+10	1.47683e+11	1.89821e+11	1.28468e+11	-4.38053e+11	-6.45585e+11	-1.05264e+12	-1.01381e+12	2.83265e+12	4.222e+11	2.98136e+12	3.3683e+12
9e+08	-6.33712e+08	1.66823e+09	-4.57249e+10	-9.62467e+10	5.09961e+10	-1.39307e+11	2.25646e+11	2.32357e+10	4.85351e+11	-6.11162e+11	-4.89012e+11	1.34855e+12	2.41132e+12	-1.53462e+12	3.98056e+12	2.09102e+12
1.2e+09	-1.37045e+09	1.36993e+09	5.71736e+10	9.21025e+10	-6.93447e+10	1.34665e+11	2.07743e+11	-8.68683e+10	7.25913e+11	2.83125e+11	1.44475e+12	-1.35564e+11	8.07994e+11	-2.73776e+12	4.46146e+12	5.41711e+11
1.5e+09	7.32957e+07	1.31036e+09	-7.09428e+10	-7.9808e+10	8.29876e+10	-1.23807e+11	1.41856e+11	-1.75539e+11	-5.91111e+10	7.7763e+11	-6.63152e+11	-1.30446e+12	-1.19235e+12	-2.59384e+12	4.36079e+12	-1.07799e+12
1.8e+09	9.12712e+08	1.2142e+09	8.27033e+10	7.16741e+10	-9.63331e+10	1.1498e+11	4.11962e+10	-2.21718e+11	-7.60935e+11	1.70534e+11	-9.19725e+11	1.10536e+12	-2.60654e+12	-1.17315e+12	3.69111e+12	-2.55678e+12
2.1e+09	-4.03625e+07	2.2102e+09	-9.116e+10	-5.54567e+10	1.0962e+11	-1.00222e+11	-7.08752e+10	-2.12994e+11	-3.88829e+11	-6.76887e+11	1.40103e+12	3.54104e+11	-2.74302e+12	8.24282e+11	2.53935e+12	-3.7014e+12
2.4e+09	-4.35066e+08	2.59006e+09	9.79272e+10	4.70142e+10	-1.21582e+11	9.0546e+10	-1.65367e+11	-1.53023e+11	5.3014e+11	-5.72618e+11	-2.02196e+11	-1.45139e+12	-1.54018e+12	2.42082e+12	1.05574e+12	-4.36204e+12
2.7e+09	-3.05419e+08	1.08583e+09	-1.04061e+11	-2.8399e+10	1.30111e+11	-7.30341e+10	-2.19657e+11	-5.74513e+10	7.03802e+11	3.36849e+11	-1.24281e+12	7.30112e+11	4.12046e+11	2.84141e+12	-5.65911e+11	-4.45214e+12
3e+09	-2.15657e+08	6.67094e+08	1.06673e+11	1.54325e+10	-1.38594e+11	5.79748e+10	-2.21456e+11	5.32371e+10	-1.17098e+11	7.70955e+11	1.1969e+12	8.01581e+11	2.1642e+12	1.8836e+12	-2.11358e+12	-3.95997e+12
3.3e+09	7.04904e+08	1.964e+09	-1.07189e+11	3.06814e+09	1.44717e+11	-3.9789e+10	-1.6961e+11	1.531e+11	-7.72041e+11	1.13649e+11	2.83447e+11	-1.43713e+12	2.86361e+12	1.09696e+10	-3.38504e+12	-2.95003e+12
3.6e+09	8.50514e+08	2.26576e+09	1.07518e+11	-1.38326e+10	-1.47137e+11	2.57511e+10	-7.80787e+10	2.16042e+11	-3.37391e+11	-7.0399e+11	-1.42055e+12	2.72048e+11	2.16513e+12	-1.86542e+12	-4.21442e+12	-1.55461e+12
3.9e+09	-5.75168e+08	1.80873e+09	-1.03775e+11	3.34059e+10	1.4914e+11	-5.27874e+09	3.06904e+10	2.2758e+11	5.71389e+11	-5.32293e+11	8.51839e+11	1.15675e+12	4.05301e+11	-2.82553e+12	-4.49392e+12	4.39234e+10
4.2e+09	-5.72682e+08	1.5216e+09	9.71386e+10	-4.41169e+10	-1.50021e+11	-1.00974e+10	1.33374e+11	1.85794e+11	6.77055e+11	3.88277e+11	7.35599e+11	-1.26488e+12	-1.55361e+12	-2.39522e+12	-4.18768e+12	1.63696e+12
4.5e+09	8.66958e+08	7.2641e+08	-8.91991e+10	6.02402e+10	1.48049e+11	2.86981e+10	2.05736e+11	9.97692e+10	-1.73469e+11	7.60194e+11	-1.43492e+12	-2.19495e+11	-2.74889e+12	-7.8661e+11	-3.33616e+12	3.0171e+12
4.8e+09	8.45153e+08	8.05791e+08	8.15858e+10	-7.06422e+10	-1.41864e+11	-4.52817e+10	2.27825e+11	-8.98233e+09	-7.78173e+11	5.56976e+10	4.077e+11	1.37473e+12	-2.59696e+12	1.20901e+12	-2.05064e+12	4.00495e+12
5.1e+09	3.20007e+07	2.13134e+09	-6.95372e+10	8.47026e+10	1.36584e+11	6.35979e+10	1.94873e+11	-1.14121e+11	-2.84771e+11	-7.27367e+11	1.10773e+12	-9.50833e+11	-1.17765e+12	2.61619e+12	-4.98521e+11	4.47231e+12
5.4e+09	-3.06263e+08	1.82846e+09	5.68438e+10	-8.95712e+10	-1.28438e+11	-7.62017e+10	1.15591e+11	-1.9293e+11	6.08815e+11	-4.89083e+11	-1.28663e+12	-6.83821e+11	8.14631e+11	2.75232e+12	1.11834e+12	4.35853e+12
5.7e+09	-8.3021e+08	4.27185e+08	-4.42197e+10	9.93175e+10	1.17571e+11	9.20221e+10	8.27108e+09	-2.25916e+11	6.45718e+11	4.36725e+11	-8.67664e+10	1.43096e+12	2.41142e+12	1.55283e+12	2.5898e+12	3.67825e+12
6e+09	-4.8222e+08	8.39652e+08	2.83903e+10	-1.03008e+11	-1.07033e+11	-1.04842e+11	-1.00482e+11	-2.02483e+11	-2.30339e+11	7.45088e+11	1.35384e+12	-5.31588e+11	2.83515e+12	-4.00516e+11	3.72437e+12	2.51966e+12
6.3e+09	7.20996e+08	1.85887e+09	-1.29572e+10	1.0899e+11	9.44421e+10	1.18526e+11	-1.84209e+11	-1.29479e+11	-7.80203e+11	-1.64353e+09	-9.92872e+11	-1.07296e+12	1.87456e+12	-2.15689e+12	4.37401e+12	1.03321e+12
6.6e+09	1.53323e+08	2.00132e+09	-1.61496e+09	-1.05771e+11	-7.89776e+10	-1.25563e+11	-2.25286e+11	-2.57596e+10	-2.30095e+11	-7.4601e+11	-5.68789e+11	1.31742e+12	-4.74869e+09	-2.85448e+12	4.45351e+12	-5.87679e+11
