315000	-28165.9	894.15	9.3804e+09	1.49305e+11	9.0948e+09	1.49563e+11
320000	-28612.4	922.751	9.52908e+09	1.49296e+11	9.2401e+09	1.4955e+11
325000	-29058.8	951.801	9.67775e+09	1.49286e+11	9.38544e+09	1.49537e+11
330000	-29505.2	981.302	9.82642e+09	1.49277e+11	9.53082e+09	1.49523e+11
335000	-29951.6	1011.25	9.97507e+09	1.49267e+11	9.67624e+09	1.4951e+11
340000	-30398	1041.65	1.01237e+10	1.49257e+11	9.8217e+09	1.49496e+11
345000	-30844.3	1072.5	1.02723e+10	1.49247e+11	9.96721e+09	1.49482e+11
350000	-31290.6	1103.8	1.0421e+10	1.49237e+11	1.01128e+10	1.49467e+11
355000	-31736.8	1135.55	1.05696e+10	1.49226e+11	1.02584e+10	1.49453e+11
360000	-32183.1	1167.75	1.07182e+10	1.49216e+11	1.0404e+10	1.49438e+11
365000	-32629.3	1200.4	1.08667e+10	1.49205e+11	1.05497e+10	1.49423e+11
370000	-33075.4	1233.49	1.10153e+10	1.49194e+11	1.06954e+10	1.49408e+11
375000	-33521.6	1267.04	1.11639e+10	1.49183e+11	1.08412e+10	1.49393e+11
380000	-33967.6	1301.04	1.13124e+10	1.49172e+11	1.0987e+10	1.49378e+11
385000	-34413.7	1335.48	1.1461e+10	1.49161e+11	1.11329e+10	1.49362e+11
390000	-34859.7	1370.38	1.16095e+10	1.49149e+11	1.12788e+10	1.49346e+11
395000	-35305.7	1405.72	1.1758e+10	1.49138e+11	1.14247e+10	1.4933e+11
400000	-35751.7	1441.51	1.19065e+10	1.49126e+11	1.15707e+10	1.49314e+11
405000	-36197.6	1477.76	1.2055e+10	1.49114e+11	1.17168e+10	1.49298e+11
410000	-36643.5	1514.45	1.22035e+10	1.49102e+11	1.18629e+10	1.49281e+11
415000	-37089.3	1551.59	1.23519e+10	1.4909e+11	1.2009e+10	1.49265e+11
420000	-37535.2	1589.18	1.25004e+10	1.49078e+11	1.21552e+10	1.49248e+11
425000	-37980.9	1627.22	1.26488e+10	1.49065e+11	1.23015e+10	1.49231e+11
430000	-38426.7	1665.71	1.27973e+10	1.49053e+11	1.24478e+10	1.49213e+11
435000	-38872.4	1704.65	1.29457e+10	1.4904e+11	1.25941e+10	1.49196e+11
440000	-39318	1744.03	1.30941e+10	1.49027e+11	1.27405e+10	1.49179e+11
445000	-39763.6	1783.87	1.32424e+10	1.49014e+11	1.28869e+10	1.49161e+11
450000	-40209.2	1824.16	1.33908e+10	1.49001e+11	1.30334e+10	1.49143e+11
455000	-40654.8	1864.89	1.35392e+10	1.48987e+11	1.318e+10	1.49125e+11
460000	-41100.3	1906.07	1.36875e+10	1.48974e+11	1.33266e+10	1.49107e+11
465000	-41545.7	1947.7	1.38358e+10	1.4896e+11	1.34732e+10	1.49088e+11
470000	-41991.1	1989.78	1.39842e+10	1.48946e+11	1.36199e+10	1.4907e+11
475000	-42436.5	2032.31	1.41325e+10	1.48932e+11	1.37666e+10	1.49051e+11
480000	-42881.8	2075.29	1.42807e+10	1.48918e+11	1.39134e+10	1.49032e+11
485000	-43327.1	2118.72	1.4429e+10	1.48904e+11	1.40603e+10	1.49013e+11
490000	-43772.4	2162.59	1.45773e+10	1.4889e+11	1.42072e+10	1.48993e+11
495000	-44217.6	2206.91	1.47255e+10	1.48875e+11	1.43541e+10	1.48974e+11
500000	-44662.7	2251.69	1.48737e+10	1.48861e+11	1.45011e+10	1.48954e+11
505000	-45107.8	2296.91	1.50219e+10	1.48846e+11	1.46481e+10	1.48935e+11
510000	-45552.9	2342.57	1.51701e+10	1.48831e+11	1.47952e+10	1.48915e+11
515000	-45997.9	2388.69	1.53183e+10	1.48816e+11	1.49424e+10	1.48895e+11
520000	-46442.9	2435.26	1.54664e+10	1.488e+11	1.50896e+10	1.48874e+11
525000	-46887.8	2482.27	1.56146e+10	1.48785e+11	1.52368e+10	1.48854e+11
530000	-47332.7	2529.73	1.57627e+10	1.48769e+11	1.53841e+10	1.48833e+11
535000	-47777.5	2577.64	1.59108e+10	1.48754e+11	1.55315e+10	1.48813e+11
540000	-48222.3	2626	1.60589e+10	1.48738e+11	1.56789e+10	1.48792e+11
545000	-48667	2674.81	1.6207e+10	1.48722e+11	1.58263e+10	1.48771e+11
550000	-49111.7	2724.06	1.63551e+10	1.48706e+11	1.59738e+10	1.4875e+11
